Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
150090 Augusto Corrêa,1014.21,1335.82,1421.6,1630.39,1788.15,2007.68,2335.65,2663.89,2714.88,2828.22,3257.95,3644.35,3931.51,2423.45
150095 Aurora do Pará,1673.27,2053,2365.21,2576.71,2519.91,2809.05,2522.09,2686.45,3519.01,3860.63,4760.07,4284.71,4771.7,3184.91
150100 Aveiro,828.15,956.46,1060.03,1321.7,1488.42,1685.17,1728.76,2008.36,2479.83,2688.74,3334.64,3388.31,3717.89,2054.14
150110 Bagre,1089.02,1594.29,1665.86,1722.03,1614.88,1832.06,2219.47,2586.72,2093.84,2246.96,2364.62,2505.1,2772.54,2110.55
150120 Baião,1923.21,3027.65,3070.77,2794.44,2528.86,3042.44,3424.52,4100.23,3477.44,3749.97,3940.33,4162.1,3955.07,3438.19
150125 Bannach,6246.21,7180.23,8422.92,9973.05,10311.58,9673.62,10391.75,10161.65,8263.01,7822.52,10383.43,12488.16,15827.56,9685.13
150130 Barcarena,23579.21,24056.73,27087.81,31924.17,40264.14,37870.45,46880.34,46759.37,41297.76,37626.4,35552.46,35639.66,32901.85,35887.27
150140 Belém,5047.89,5344.45,5882.68,6585.21,7600.01,8021.69,8765.43,9542.06,10733.66,11524.83,12908.95,14027.06,14575.66,9358.15
150145 Belterra,1020.68,1316.61,1566.03,2253.53,2905.78,2919.22,2872.56,3127.42,4570.96,5403.03,4606.81,5833.06,5951.29,3396.06
150150 Benevides,1513.17,3390.22,3454.35,3625.04,3962.6,4949.89,7119.96,10191.89,11339.68,11259.38,11600.52,11757.48,13959.32,8040.42
150157 Bom Jesus do Tocantins,1830.99,2296.04,2619.5,2957.29,3191.31,3400.57,3533.49,3886.05,4360.24,4644.59,5303.72,5670.89,6294.49,3912.14
150160 Bonito,986.28,1180.28,1453.72,1637.13,1858.46,1881.38,1988.21,2221.57,2698.3,3008.57,3387.51,3476.92,3738.58,2383.12
150170 Bragança,1253.6,1485.67,1703.73,1938.81,2178.01,2274.46,2638.21,3008.72,3279.37,3582.77,3990.51,4474.03,4997.17,2907.88
150172 Brasil Novo,1651.35,1864.38,2332.41,2625.31,2786.08,2847.08,2992.41,3288.6,3998.95,3993.23,5715.03,6685.22,6655.41,3575.25
150175 Brejo Grande do Araguaia,1875.43,2240.22,2340.23,2886.5,3481.8,3691.9,3748.91,3750.04,4314.6,4265.54,5074.72,5299.63,6139.34,3761.3
150178 Breu Branco,2609.53,2286.91,3104.5,5043.03,5543.04,5131.37,4955.61,5173.94,7215.89,5574.34,9804.99,10913.32,8399.31,6187.5
150180 Breves,1250.06,1710.25,1843.32,2051.77,2408.88,2336.57,2384.87,2764.78,2538.73,2975.79,3607.87,3822.02,4172.07,2651.05
150190 Bujaru,979.98,1285.94,1519.38,1685.88,1838.53,1993.79,2492.09,2055.66,2611.33,3105.14,2923.93,3253.14,3165.59,2262.02
150200 Cachoeira do Arari,1587.53,1700.41,1829.09,1949.99,2075.7,2160.73,2497.76,2633.98,2699.84,3079.38,3466.77,4015.15,4616.3,2726.95
150195 Cachoeira do Piriá,1035.14,1360.93,1603.61,1641.54,1575.04,1593.25,1632.89,1825.45,2393.48,2518.86,2461.45,2720.82,3280.65,2072.57
150210 Cametá,1293.06,1524.14,1739.58,1715.51,1732.03,1926.12,2127.64,2449.64,2543.61,2811.58,3129.21,3364.08,3679.41,2370.24
150215 Canaã dos Carajás,2541.4,2862.55,3718.92,8632.45,37065.39,46351.14,50767.79,46553.43,48627.67,27147.94,58390.78,107132.49,107164.39,51938.58
150220 Capanema,2238.82,2758.11,2980.61,3110.56,3414.47,3722.33,4336.69,4961.96,5591.38,6373.25,7873.32,8009.54,8844.98,5023.35
150230 Capitão Poço,943.74,1136,1373.75,1540.26,1644.91,1826.62,2316.78,2519.28,2721.96,3039.1,3634.67,4013.21,4437.74,2409.04
150240 Castanhal,2475.99,2745.15,3163.56,3565.99,4320.67,4663.33,5166.6,5953.04,6997.63,7560.56,8369.75,9188.19,10948.31,5998.37
150250 Chaves,1517.84,1807.57,2198.35,2500.48,2700.39,2942.3,2955.05,3262.68,3172.46,3333.65,3699.66,3880.84,4402.17,3009.51
150260 Colares,1105.3,1330.09,1487.28,1630.31,1814.65,1903.65,2005.97,2173.76,2843.57,3268.98,3623.94,3693.5,4110.64,2390.65
150270 Conceição do Araguaia,2199.67,2959.62,2905.42,3636.36,3462.46,3860.04,4545.64,5587.63,4893.82,4891.45,5910.53,6781.96,7779.56,4599.8
150275 Concórdia do Pará,1267.71,1280.55,1527.83,1893.71,1944.45,2161.57,2463.03,2640.37,3251.85,3839.09,3642.26,4258.52,5004.05,2803.99
150276 Cumaru do Norte,3498.36,5779.32,5985.44,6570.7,8382.4,11321.11,13157.54,13034.92,7126.28,6887.17,9498.88,11125.78,14764.74,9220.27
150277 Curionópolis,1638.37,1840.18,2182.67,2537.25,3017.48,3762.39,4803.18,6004.72,4561.49,4797.48,5693.37,7260.88,9915.03,4432.34
150280 Curralinho,795.61,967.59,1124.25,1245.12,1343.19,1446.57,1619.04,1816.65,1901.91,2023.99,2272.44,2462.15,2720.32,1749.08
150285 Curuá,1291.71,1551.99,1863.09,2202.02,2461.38,2779.97,3338,3465.18,3506.98,3996.72,5228.3,4420.01,4952.97,3302.33
150290 Curuçá,1052.71,1277.13,1406.06,1648.27,1841.23,2093.87,2396.17,2457.62,2393.01,2892.01,3542.37,3840.45,3973.56,2464.78
150293 Dom Eliseu,3009.65,2615.77,3276.98,3756,3701.66,3561.53,3799.73,3742.3,5523.41,5894.62,5282.54,6085.55,6719.76,4426.49
150295 Eldorado do Carajás,1086.91,1318.04,1640.28,1912.85,2399.62,2658.4,2841.46,2934.93,4608.8,5557.31,6288.7,6387.5,6584.93,3466.39
150300 Faro,936.58,1074.12,1179.67,1270.96,1397,1429.4,1748.97,2003.61,1930.19,2055.19,5374.01,3642.07,4034.43,1988.83
150304 Floresta do Araguaia,2922.32,4147.17,3590.27,5682.91,5708.92,6212.72,5358.64,6773.63,9197.1,11447.76,16274.7,19715.23,21186.43,9589.63
150307 Garrafão do Norte,826.08,1126.87,1334.98,1467.2,1742.82,1835.2,2142.52,2225.47,2783.15,2940.3,3627.14,3599.27,4227.69,2300.27
150309 Goianésia do Pará,1541.02,1894.69,2419.53,2560.65,2936.17,3171.57,3592.11,4025.5,4529.38,4394.41,4838.74,5037.09,5249.81,3675.2
150310 Gurupá,1275.88,1365.82,1782.26,1772.52,1688.04,1841.25,2157.25,2438.96,2816.28,3110.91,3208.28,3301.85,3620.46,2392.91
150320 Igarapé-Açu,1298.16,1389.89,1753.63,1806.32,1891.25,1949.6,2081.41,2427.36,2780.04,3048.04,3465.88,5089.46,4688.12,2620.15
150330 Igarapé-Miri,971.6,1106.72,1387.18,1547.77,1754.01,1866.79,1926.39,2044.88,2479.08,2739.45,3044.68,3383.2,3706.99,2169.97
150340 Inhangapi,1193,1572.78,1751.07,2199.35,2417.04,2629.02,2805.51,3183.89,2989.91,3128.62,3619.76,4061.79,4273.27,2848.17
150345 Ipixuna do Pará,2690.29,3739.85,4109.93,4600.77,4613.7,4449.68,4339.47,4547.96,5333.49,4979.57,6175.39,7156.19,6793.73,5157.82
150350 Irituia,1117.16,1221.29,1390.46,1621.52,1732.46,1865.2,2011.28,2311.5,2429.57,2668.76,2941.57,3180.18,3520.5,2163.38
150360 Itaituba,1515.88,2079.14,2569.6,3342.01,4058.2,4060.61,4743.49,5569.84,4649.93,4758.39,6659.57,7516.24,8106.28,4610.83
150370 Itupiranga,971.61,1204.9,1485.59,1727.48,2115.08,2212.43,2349.91,2332.56,3983.34,4540.63,4254.58,4698.44,5280.45,2770
150375 Jacareacanga,795.64,931.96,1070.09,1230.52,1342.97,1329.55,1422.8,1583.78,1722.96,1947.59,6658.85,4479.47,2066.94,1769.52
150380 Jacundá,1632.92,1733.46,2187.78,2383.55,2971.63,3285.98,3568.05,3842.32,3671.45,3974.94,4780.71,4842.87,5421.74,3507.75
150390 Juruti,1137.65,1343.11,1609.45,1971,1986.09,1930.53,2293.43,3440.85,5996.27,7671.95,11960.54,10167.08,10019.06,5264.54
150400 Limoeiro do Ajuru,1546.93,1867.83,2157.03,1734.02,1782.77,2026.18,2253.05,2502.8,2585.87,3132.33,3767.88,4125.13,4911.08,2735.74
150405 Mãe do Rio,2203.3,2492.67,2573.89,2787.08,2729.81,3411.64,3988.27,5370.84,4701.45,4985.78,5500.26,5425.19,6091.81,4086.61
150410 Magalhães Barata,959.68,1333.17,1434.37,1549.79,1695.14,2008.14,2038.04,2183.69,2630.19,2957.44,3430.36,3613.99,4360.92,2340.83
150420 Marabá,3405.38,4763.71,4828.28,6528.88,9771.69,10629.23,13042.34,15032.51,17977.83,15174.36,15413.46,15678.02,18159.27,12077.46
150430 Maracanã,1061.55,1248.71,1379.53,1590.93,1798.89,2010.06,2319.08,2646.35,2919.64,3218.45,3732.04,4124.92,4305.36,2498.7
150440 Marapanim,1212.22,1464.46,1681.65,1903.58,2096.36,2203.76,2335.92,2504.9,2855.51,3422.93,3891.2,4182.51,4433.72,2648.47
150442 Marituba,1361.16,1830.15,2422.08,2649.21,3225.25,3118.45,3158.23,4056.41,4759.67,5148.75,5849.93,6589.01,7830.39,4210.83
150445 Medicilândia,1805.71,2052.33,3124.57,2937.3,3132.62,3538.7,3790.7,4331.93,4380.95,5698.04,5980.54,6213.25,6678.66,4268.24
150450 Melgaço,922.99,1101.18,1204.4,1290.98,1400.43,1498.73,1545.92,1597.87,2597.56,2792.52,2886.56,3182.56,3639.35,1974.03
150460 Mocajuba,1642.45,2050.81,2211.42,2154.74,2103.31,2359.86,2424.35,2767.2,2646.7,3168.55,3519.01,3700.9,4500.14,2790.93
150470 Moju,1091.14,1384.13,1545.35,1869.75,2082.57,2219.59,2560.3,3266.62,3345.52,3429.22,3888.73,4278.64,6124.48,2984.86
150480 Monte Alegre,1210.34,1443.56,1882.92,2203.69,2422.71,2456.58,2725.6,3106.55,4237.41,3965.1,5621.58,5119.78,5568.24,3168.19
150490 Muaná,1048.46,1193.85,1373.64,1434.17,1536.19,1639.65,1832.27,2061.56,2226.68,2382.74,2587.05,2905.81,3181.1,2027.74
150495 Nova Esperança do Piriá,794.92,939.64,1120.77,1180.29,1393.02,1409.53,1497.52,1614.92,2256.11,2879.2,3492.71,4103.08,4021.84,2012.35
150497 Nova Ipixuna,1191.16,1420.26,1615.91,1873.14,2133.03,2542.75,2775.02,3062.33,3494.43,3578.82,4243.5,4676.56,5216.68,2997.87
150500 Nova Timboteua,1313.43,1423.47,1620.33,1800.01,2006.83,2031.08,2178.88,2335.77,2973.73,3534.26,3627.76,4045.95,4408.21,2618.62
150503 Novo Progresso,1352.21,2268.16,2610.03,2938.04,3545.73,3470.62,3737.96,3878.42,6580.36,7008.7,8812.4,10170.71,10668.14,4860.65
150506 Novo Repartimento,1622.26,1781.77,2374.66,2866.87,3235.77,3549.76,3565.56,3820.72,3817.95,4273.31,4912.92,5535.96,6463.07,3866.08
150510 Óbidos,1572.57,1866.36,2165.18,2466.09,2688.64,2817.22,3082.23,3422.78,3906.09,4244.72,5103.26,4834.64,5305.96,3364.56
150520 Oeiras do Pará,1433.34,2013.1,1869.03,1830.85,1756.32,2004.7,2163.72,2444.5,2769.85,3345.26,3933.48,4229.16,4405.13,2696.08
150530 Oriximiná,9154.34,9712.99,9601.42,12525.35,14864.55,14625.02,11698.25,11927.54,20259.04,14520.71,19271.75,20853.21,18072.92,14730.38
150540 Ourém,1162.2,1338.15,1534.57,1682.73,1883.58,2003.59,2346.75,2558.6,2816.91,3111.75,3520.38,4375.18,4652.26,2583.74
150543 Ourilândia do Norte,1950.59,2601.91,2589.19,2981.74,3170.18,3485,4313.2,6747.24,11086.86,10219.63,9300.31,22045.05,21775.08,8771.44
150548 Pacajá,1389.36,1891.15,1979.09,2368.87,2528.33,2813.85,3395.17,4263.82,3653.81,3778.46,4713.97,5187.82,6170.47,3568.3
150549 Palestina do Pará,1458.17,1503.12,1703.55,1960.9,2294.05,2458.92,2417.8,2716.75,3788.03,4148.52,4692.22,5092.16,5544.08,3007.63
150550 Paragominas,3626.9,3823.97,5686.51,5894.16,5623.2,5919.36,6486.09,7581.95,8919.48,9052.18,12629.23,13230.42,15415.68,8297.02
150553 Parauapebas,21625.47,18952.95,18591.42,22330.95,27217.85,28552.01,31480.33,31125.14,45200.17,36878.7,103426.83,124181.23,100598.32,56331.29
150555 Pau D'Arco,2454.9,2729.3,3044.63,3252.26,3227,3341.34,3357.51,3480.66,5221.97,5585.93,6384.56,7287.96,8140.15,4213.53
150560 Peixe-Boi,1055.58,1311.46,1492.75,1590.72,1634.61,1679.73,1997.46,2007.57,2590.69,3013.55,3364.98,3796.61,4246.06,2269.77
150563 Piçarra,2983.65,3723.36,4379.41,5215.95,4785.21,4661.05,4672.87,4686.83,5649.89,5857.13,7355.4,8270.51,10079.48,5527.7
150565 Placas,1396.24,1806.36,2369.28,2099.97,2288.91,2467.04,2496.64,3021.45,2865.52,3243.86,3552.05,3697.07,4138.44,2895.99
150570 Ponta de Pedras,1446.8,1586.81,1900.85,1959.27,1978.16,2066.35,2497.6,3024.23,2606.78,2878.35,3395.7,3752.92,4004.14,2648.79
150580 Portel,1717.51,2201.36,2527.98,2389.68,2399.89,2540.87,2765.75,3416.34,3224.92,3413.24,3637.03,3573.81,4545.53,3031.87
150590 Porto de Moz,1354.36,1746.75,1856.75,1926.43,1802.12,1838.81,2091.34,2326.55,2716.8,2714.8,3222.92,3696.58,4036.01,2503.42
150600 Prainha,1288.35,1412.38,1877.25,2227.39,2659.84,2888.9,3154.92,2951.62,3464.19,4117.72,4345.38,4338.49,5522.04,3090.8
150610 Primavera,965.61,1065.33,1162.69,1281.82,1388.08,1473.37,1777.47,1846.05,2221.94,2856.48,3257.69,3622.18,4159.39,2092.17
150611 Quatipuru,1314.11,1521.19,1786.42,1970.15,2180.16,2322.21,2913.15,3191.85,3262.86,3555.64,4143.53,4317.98,4563.53,2903.53
150613 Redenção,3206.19,4039.91,5174.79,5086.55,5520.95,5827.88,6460.39,7323.88,8271.41,8595.77,8630.58,8884.69,10126.28,6805.22
150616 Rio Maria,2841.63,3599.1,4087.56,4953.39,7139.76,8969.32,12531.89,14641.44,9459.8,9903.84,11869.3,11578.86,13244.63,8661.59
150618 Rondon do Pará,2562.79,2786.35,3433.58,3699.05,4025.99,4193.96,4383.46,4835.51,4987.77,5146.48,5781.37,6426.62,6483.94,4587.15
150619 Rurópolis,1202.41,1472.63,1849.25,2046.58,2301.06,2351.99,2508.95,3098.52,2809.07,2998.54,3339.86,3645.69,3849.71,2716.53
150620 Salinópolis,1689.23,1789.7,2028.63,2289.61,2442.18,2567.07,2892.21,3060.74,3594.53,3991.79,4466.06,4880.4,5382.62,3184.98
150630 Salvaterra,1207.36,1537.09,1813.75,2018.76,2258.65,2453.46,2747.31,3133.35,3442.44,3843.75,4023.21,4348.05,4629.89,2990.46
150635 Santa Bárbara do Pará,1771.82,1991.72,2444.9,2723.51,2652.2,2796.81,3221.57,3922.36,3932.33,4049.23,3904.68,4274.37,4815.98,3398.51
150640 Santa Cruz do Arari,1500.64,2054.83,2092.08,2240.91,2373.06,2677.49,3044.17,3049.48,3221.86,3563.98,3526.78,3820.38,4177.81,2995.69
150650 Santa Izabel do Pará,1622.78,2082.53,2701.7,3247.09,3320.81,3530.17,3565.64,4136.21,4403.91,5032.87,5322.04,6202.65,6595.28,4150.97
150655 Santa Luzia do Pará,956.9,1259.18,1271.73,1482.36,1659.25,1820.97,2121.21,2535.93,2955.44,3179.16,3405.22,3660.37,4152.39,2335.35
150658 Santa Maria das Barreiras,3341.38,3511.15,4395.02,4897.57,5491.48,6180.51,6718.25,7080.09,5623.69,5180.16,6012.41,6992.17,8454.98,5851.85
150660 Santa Maria do Pará,1337.16,1419.18,1930.24,2021.4,2385.92,2227.3,2657,3350.28,3919.26,4310.79,4657.23,5180.45,5522.2,3191.86
150670 Santana do Araguaia,2364.18,3915.6,3720.46,4550.93,4905.87,5030.69,5219.67,5686.99,5214.06,5228.59,5631.31,6108.18,6502.51,5125.76
150680 Santarém,1844.96,2410.63,2877.39,3628.81,4462.68,4639.78,5182.13,5502.85,5938.43,6395.49,6964.25,7404.94,8383.31,5124.72
150690 Santarém Novo,1102.67,1314.46,1731.72,1907.21,2185.61,2169.73,2223.49,2461.89,2745.31,3335.04,3829.84,4023,4339.14,2606.57
150700 Santo Antônio do Tauá,1568.08,1776.89,2085.39,2874.66,2813.89,2924,3362.28,3687.77,3361.87,3890.55,3954.49,4672.24,4995.17,3340.71
150710 São Caetano de Odivelas,1454.96,1925.51,2021.75,2221.56,2531.77,2708.02,3095.93,3993.22,3151.98,3475.73,3921.94,4401.41,4841.93,3089.4
150715 São Domingos do Araguaia,1372.25,1655.88,1951.43,2210.63,2761.36,2912.7,3040.88,3125.18,3803.95,4214.37,4681.74,5146.21,6221.78,3364.21
150720 São Domingos do Capim,923.25,1071.27,1197.92,1428.12,1549.81,1581.22,1868.01,2494.86,2417.87,3058.38,3486.65,3883.4,4237.74,2257.43
150730 São Félix do Xingu,3538.89,4185.11,5396.14,5833.9,5709.46,6183.91,6968.93,8056.93,5563.79,5567.81,5780.83,6890.22,7251.78,6109.79
150740 São Francisco do Pará,1331.56,1447.35,1603.69,1915.12,1850.58,2067.84,2053.82,2542.07,3720.62,4434.31,4328.57,4276.9,5015.12,2774.64
150745 São Geraldo do Araguaia,2126.51,2229.95,2450.34,2832.26,3487.56,3828.48,4043.88,4491.18,4970.42,5218.46,6133.46,6951.81,7978.3,4305.52
150746 São João da Ponta,1395.98,1691.68,1998.59,2167.66,2638.56,2966.3,3023.21,4045.58,3160.56,3433.93,3657.82,3892.44,4093.57,3012.96
150747 São João de Pirabas,1046.74,1288.09,1504.91,1756.58,1977.58,2234.15,2762.32,2930.71,2957.6,3336.69,3735.35,4065.13,4371.92,2679.85
150750 São João do Araguaia,1061.78,1239.92,1436.57,1644,1916.93,2064.02,2210.39,1988.05,3336.52,3609.29,3791.52,4290.55,4994.62,2534.05
150760 São Miguel do Guamá,1392.66,1525.88,1849.53,1898.6,2156.99,2206.02,2317.84,2758.11,3216.23,3842.49,3915.38,4079.1,4344.93,2795.79
150770 São Sebastião da Boa Vista,921.51,1280.3,1556.3,1538.47,1608.44,1727.06,1931.18,2198.63,2278.04,2504.4,3113.72,3403.86,3674.02,2213.44
150775 Sapucaia,8308.02,9056.26,7036.98,8364.85,9083.34,10797.61,12680.13,15801.49,7829.31,7836.95,8462.91,9067.58,9493.87,9175.84
150780 Senador José Porfírio,1230.72,1556.63,1780.91,2099.56,2318.43,3039.96,3860.75,4767.39,3311.64,3476.52,4085.28,4655.18,5453.77,3097.98
150790 Soure,1657.17,1751.89,2123.75,2252.21,2354.14,2649.84,2846.38,3123.71,3281.2,3640.46,4044.82,4261.14,4765.8,3029.03
150795 Tailândia,3117.06,3416.35,3830.39,4303.71,5185.74,4957.97,4788.11,4994.83,4676.25,4871.09,5404.94,5167.1,4992.94,4725.46
150796 Terra Alta,1156.99,1165.46,1303.23,1444.06,1651.63,1752.53,1732,2008.05,2332.1,2568.51,2887.87,3125.21,3388.51,2086.08
150797 Terra Santa,1266.36,1445.82,1628.06,1838.96,1973.09,2140.22,2252.52,2379.19,3038.15,3451.56,3780.75,4205.1,4612.97,2652.97
150800 Tomé-Açu,1724.69,2156.99,2477.8,2571.39,2749.38,3066,3437.41,3991.83,4369.87,4677.72,4764.67,5454.48,5933.32,3714.77
150803 Tracuateua,898.99,1103.19,1277.17,1451.26,1503.76,1599.57,1849.92,2222.98,2399.94,2500.72,3006.97,3396.04,3732.03,2124.5
150805 Trairão,1292.8,1753.14,1856.98,2247.4,2477.27,2391.95,2562.98,2996.19,3620.15,4034.07,4527.96,5348.97,6449.15,3257.11
150808 Tucumã,2468.79,3124,3920.2,4567.97,5230.05,5738.8,7965.68,9786.46,8256.2,8890.13,9081.83,9490.29,9734.57,7001.91
150810 Tucuruí,5708,12471.01,15624.8,15623.03,18632.15,21320.84,23680.92,27150.78,27537,19804.77,29010.19,26005.74,27045.27,21334.13
150812 Ulianópolis,3200.51,4345.9,4937.44,5061.14,5946.17,5359.22,5354.29,5609.46,4779.07,4825.66,4751.78,4675.89,5103.75,4943.93
150815 Uruará,1141.03,1657.16,2019.83,2086.84,2252.52,2543.08,2483.4,2668.9,5056.41,5399.51,4597.8,5536.54,5996.13,3176.6
150820 Vigia,1214.1,1445.94,1589.13,2318.48,2138.37,2342.58,2816.18,3105.12,3025.34,3567.73,3824.53,4108.57,4458.82,2830.75
150830 Viseu,996.77,1203.68,1346.34,1592.63,1698.98,1862.44,2097.31,2325.54,2577.56,2864.22,3284.95,3749.01,4149.58,2325.88
150835 Vitória do Xingu,2079.36,3884.46,4200.93,4934.39,5587.21,5691.76,6179.78,6424.25,7062.55,7507.19,6497.18,7100.62,10799.85,6091.66
150840 Xinguara,3314.67,5964.45,5261.72,7196.39,7936.84,9502.85,12687.73,14168.78,9053.38,10423.53,11699.32,14050.36,15125.11,9826.14
160010 Amapá,3976.61,4907.88,5154.8,5401.63,5832.9,6553.15,8075.59,9637.76,9370.05,10369.99,11095.61,11504.2,12966.51,8197.35
160020 Calçoene,3616.63,4490.22,5289.03,5692.76,6572.3,7000.84,8741.13,10052.41,9518.5,11255.09,12799.82,13852.69,16019.61,9245.3
160021 Cutias,4249.61,4773.14,5510.48,5761.23,6306.35,7002.86,6229.51,6718.37,10215.81,10894.99,13586.74,14113.2,15371.99,8899.76
160023 Ferreira Gomes,3810.93,4317.93,4793.93,4822.4,5256.16,5786.01,7339.46,8995.29,13732.2,12725.75,13376.54,14944.95,19911.35,10124.4
160025 Itaubal,3091.57,3592.87,4442.17,4470.72,4898.14,5377.16,5876.76,5664.56,8343.53,8799.77,8908.86,9683.64,10987.49,6722.64
160027 Laranjal do Jari,3225.13,3724.96,4073.91,4249.06,4674.75,5123.37,5985.96,6651.12,7798.05,7995.01,8906.59,9862.99,11203.49,6701.37
160030 Macapá,5459.28,6195.17,7172.42,6994.48,7559.72,7787.85,9134.96,10010.07,11929.36,12743.57,13096.63,13821.85,15530.1,10140.55
160040 Mazagão,3179.54,3550.53,3923.27,4055.28,4620.98,4850.77,5797.11,6489.82,7236.78,7841.34,8103.13,8615.98,9909.86,6268.08
160050 Oiapoque,3657.69,4618.04,5319.51,6043.44,7956.92,8757.66,10115.08,11385.95,10643.71,10975.09,11520.27,12542.9,13426.54,9510.95
160015 Pedra Branca do Amapari,4454.08,4738.17,5659.8,5040.38,6385.33,7384.36,9225.7,12837.8,11988.63,12719.71,10798.16,24781.67,22892.01,12849.47
160053 Porto Grande,5126.7,6438.81,6667.32,6662.1,6738.82,7149.94,7856.48,8225.82,9025.8,9604.9,10259.65,10916.13,12818.73,8535.31
160055 Pracuúba,4081.41,4536.39,4953.1,5090.77,5491.41,5987.44,7179.69,8776.44,8923.57,8794.87,9797.51,10949.6,12506.75,7951.51
160060 Santana,4785.9,5252.36,5544.24,6319.87,6541.7,6890.34,7509.21,8365.37,10058.08,11063.44,12267.78,12401.5,15276.59,8826.38
160005 Serra do Navio,6975.64,7040.7,7830.53,6396.94,6090.06,15046.5,24703.76,28039.69,37201.5,38629.84,29452.42,16008.02,22260.71,19526.76
160070 Tartarugalzinho,3272.55,4429.02,5556.23,4831.64,5917.63,6780.67,7538.72,9540.7,7691.33,8712,9776.61,9587.95,11030.95,7757.19
160080 Vitória do Jari,3389.05,3722.24,4256.54,4407.43,4857.53,5225.07,6184.51,6481.7,7239.27,8624.25,9385.9,9605.43,10617.28,6737.94
170025 Abreulândia,2505.18,3656.17,3266.34,3855.24,4062.84,4512.57,5114.76,5897.61,6915.39,7533.22,7992.13,8578.42,9401.28,5691.57
170030 Aguiarnópolis,2847.5,5810.3,9458.07,8764.5,7770.62,6353.33,7593.51,9163.9,12750.54,13490.73,12309.65,12920.68,13973.48,10013.88
170035 Aliança do Tocantins,3528.26,3422.45,3413.99,5389.93,5482.06,4936.37,4994.02,5152.24,6781.33,7674.84,9245.29,9309.8,9626.49,5975.65
170040 Almas,1861.12,2024.88,2117.26,2666.55,3076.93,3824.94,3196.73,3430.09,4981.07,5352.44,6242,6894.02,7571.19,3981.58
170070 Alvorada,3162.65,3694.05,4098.51,5374.33,6109.94,6881.77,8798.07,10072.5,13302.96,15067.69,17721.1,20482.94,24926.18,10712.19
170100 Ananás,2067.93,2647.9,2940.85,3536.9,3949.81,4059.71,3995.86,4106.62,5715.74,6263.74,6850.16,7302.38,7931.87,4620.26
170105 Angico,1544.44,2009.44,2271.18,3239.67,3635.93,3936.46,4586.38,5162.73,5044.57,6024.36,7534.6,7620.71,7624.15,4721.49
170110 Aparecida do Rio Negro,1870.9,2675.13,3278.54,4807.85,6524.65,6898.67,6536.26,6837.48,7244.45,9690.29,9371.61,13500.07,12865.44,7327.09
170130 Aragominas,1924.52,2301.07,2583.62,3667.15,3674.51,3700.08,3798.41,3731.24,6112.32,6981.01,7660.07,7985.73,8576.47,4616.64
170190 Araguacema,2281.43,3225.81,2996.52,3581.66,3990.13,4394.31,4280.04,4608.19,5982.23,6816.06,6879.38,7766.51,8546.21,5102.89
170200 Araguaçu,3644.98,4506.07,5063.7,7430.92,7787.5,7793.91,8492.15,9473.65,10525.42,11597.42,13394.91,13467.83,14682.8,9003.7
170210 Araguaína,3915.93,4931.05,5461.06,6838.02,7870.5,8423.92,9015.49,9487.37,12163.5,13240.32,12777.53,13029.15,14101.21,9594.28
170215 Araguanã,2670.84,2828.54,3035.01,3849.32,4882.55,5149.77,4566.32,4889.81,6582.75,7227.31,8767.62,8688.59,9269.16,5647.61
170220 Araguatins,1741.84,2077.09,2492.26,2804.22,3086.68,3095.12,3436.34,3671.47,4847.22,5713.55,6353.55,6492.52,7076.45,4152.59
170230 Arapoema,2929.96,3703.4,4416.16,5272.31,5714.12,6299.93,6906.82,8025.14,8431.01,8899.18,9806.6,10049.58,11316.98,7035
170240 Arraias,2379.16,3232,3531.92,4418.4,4883.07,5585.08,6523.71,6813.82,8550.12,12805.74,13763.02,12168.06,12348.75,7425.12
170255 Augustinópolis,1452.89,2082.08,2331.95,2900.47,3110.22,3472.23,4026.86,4264.75,5199.37,5648.54,6372.55,6997.75,7678.92,4410.4
170270 Aurora do Tocantins,2437.95,3187.38,3618.35,4838.22,4618.45,5274.99,6044.82,7109.94,6700.96,7435.93,8196.52,8547.88,8946.66,6024.47
170290 Axixá do Tocantins,1517.29,1893.32,2313.07,2734.63,3074.1,3372.54,3898.41,4717.71,4508.86,5114.66,5834.88,6172.43,6675.15,4033.16
170300 Babaçulândia,1475.91,1715.54,1954.75,2505.86,3218.03,3647.5,3660.08,4330.85,6325.22,8685.92,8881.96,6884.58,6358.32,4576.97
170305 Bandeirantes do Tocantins,4978.24,6502.45,8032.06,10634.77,15051.32,12231.3,13112.84,14140.67,18598.71,17632.03,17426.04,25032.54,19450.08,14406.31
170307 Barra do Ouro,1249.37,1643.83,2156.41,3109.37,3465.05,4430.18,4565.13,4857.17,6264.76,7269.06,7872.75,8475.73,9762.86,5133.96
170310 Barrolândia,2546.62,2953.09,3616.93,4327.55,4983.31,5939.85,6644.19,7380.16,7162.63,6832.86,7895.89,8795.76,8814.9,6034.63
170320 Bernardo Sayão,3479.92,4822.49,5145.33,6169.4,6339.8,6928.11,7310.91,8268.27,10014.18,10703.57,11832.5,11347.48,12054.99,8007.81
170330 Bom Jesus do Tocantins,2466.2,4145.16,4384.26,5967.12,7705.8,8782.09,7430.53,8794.71,9196.07,12621.83,9486.83,9577.64,11403.7,8245.69
